STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,ACTIVITY,Economic activity,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,ADJUSTMENT,Adjustment,CONVERSION_TYPE,Conversion type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,MFP_PCCONG,Contribution of MFP to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2012,,0.293368,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2012,,1.451351,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2013,,1.381104,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,MFP_PCCONG,Contribution of MFP to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2013,,1.228423,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2013,,0.506137,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2014,,0.602298,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,MFP_PCCONG,Contribution of MFP to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2014,,1.170807,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2014,,1.379139,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2015,,1.368987,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,MFP_PCCONG,Contribution of MFP to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2015,,0.451368,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2015,,0.950016,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2016,,0.106951,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,MFP_PCCONG,Contribution of MFP to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2016,,1.504315,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2016,,1.293029,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2017,,1.401147,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,MFP_PCCONG,Contribution of MFP to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2017,,2.577322,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2017,,-0.867723,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2018,,-0.613581,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,MFP_PCCONG,Contribution of MFP to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2018,,2.267925,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2018,,1.211597,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2019,,1.044653,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,MFP_PCCONG,Contribution of MFP to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2019,,1.313798,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2019,,-0.139281,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2020,,-2.718485,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,MFP_PCCONG,Contribution of MFP to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2020,,0.913813,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2020,,1.092727,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2021,,1.145351,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,MFP_PCCONG,Contribution of MFP to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2021,,2.041149,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2021,,1.028157,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2022,,1.725373,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,MFP_PCCONG,Contribution of MFP to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2022,,-0.20367,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2022,,1.057422,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,LUX,Luxembourg,A,Annual,MFP_PCCONG,Contribution of MFP to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1996,,-0.423224,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,LUX,Luxembourg,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1996,,0.916013,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,LUX,Luxembourg,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1996,,0.895608,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,LUX,Luxembourg,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1997,,2.938392,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,LUX,Luxembourg,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1997,,1.369293,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,LUX,Luxembourg,A,Annual,MFP_PCCONG,Contribution of MFP to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1997,,0.970378,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,LUX,Luxembourg,A,Annual,MFP_PCCONG,Contribution of MFP to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1998,,1.849165,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,LUX,Luxembourg,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1998,,1.275183,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,LUX,Luxembourg,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1998,,3.336854,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,LUX,Luxembourg,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1999,,3.536627,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,LUX,Luxembourg,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1999,,1.78642,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,LUX,Luxembourg,A,Annual,MFP_PCCONG,Contribution of MFP to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1999,,2.535134,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,LUX,Luxembourg,A,Annual,MFP_PCCONG,Contribution of MFP to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2000,,0.790766,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,LUX,Luxembourg,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2000,,1.513986,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,LUX,Luxembourg,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2000,,4.40327,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,LUX,Luxembourg,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2001,,3.841935,,A,Normal value,0,Units,,,2,Two
